"","state","fuel.efficiency","renewables","eliminate.mandatory.minimum","three.strikes","aca","guns.banassault","imm.amnesty","white.advantage","min.wage","garland","epa.carbon","imm.legal.daca","abortion.legal","abortion.only.rape.incest.life","abortion.illegal.after.20","abortion.hc.coverage.decline","abortion.no.federal.funds","abortion.always.illegal"
"11","Hawaii",0.77023819614237,0.730941418265917,0.654196230513974,0.860079755747971,0.50587990812778,0.741816201137265,0.663680516015969,0.673894180310897,0.798720212402008,0.0755183118460942,0.808946533935651,0.536480179137991,0.743381459404832,0.434600166738931,0.541785299510546,0.320109766178159,0.36000462447564,0.1344078923585
"12","Idaho",0.720340650728346,0.594161218220598,0.642401569666715,0.8852638235308,0.651341673081336,0.426465388061157,0.497417935846352,0.437673226313906,0.60971382454743,0.0786735570481534,0.612505530346704,0.404905818999319,0.524495536943207,0.59021705329493,0.670772931840046,0.507223154982625,0.528954491930884,0.171882953064484
"13","Illinois",0.75914124805609,0.688039289046403,0.6844641879681,0.866036804077789,0.5137281273083,0.643724076656958,0.568965316460397,0.581443494244519,0.747689396526964,0.0794314101296456,0.768052701536415,0.447737729007365,0.699594850488884,0.486301123848342,0.578165752124631,0.364222937421849,0.395854945042498,0.158163659991481
"14","Indiana",0.731748581747604,0.626373258080874,0.651657262773915,0.881618943043719,0.611670290498676,0.535923623825404,0.509146109966551,0.466928172807851,0.656984346800694,0.0708259694099243,0.68606406361991,0.410428959820112,0.543518844644114,0.548317392737563,0.646763064060138,0.452877570993954,0.476800559107931,0.187019264490968
"15","Iowa",0.737719902438984,0.651915610173243,0.658937983232468,0.88345593741848,0.568917306728091,0.528461138277756,0.513342006015256,0.486268679595795,0.664745420229071,0.105684699931639,0.705977713778085,0.422185974376882,0.571015582346098,0.522541887353721,0.612810120986165,0.400824705211318,0.442453210817041,0.153377844621605
"16","Kansas",0.738413335989797,0.632428885741921,0.675602703199361,0.86224515980574,0.600599209662382,0.540760791022076,0.521898438632696,0.522464707354444,0.663639923968225,0.082341699134764,0.680950210316671,0.434424797134186,0.556103339030048,0.572412015050534,0.61319375026295,0.428900268243902,0.458617765327855,0.163764569652681
"17","Kentucky",0.725897488615288,0.603103498580343,0.613843574516211,0.897910224065347,0.617003461369962,0.47378904084725,0.479694369651229,0.413075377478481,0.63966695264806,0.0656124016464044,0.644672533821911,0.36654518997244,0.4763221929975,0.586684103259281,0.659454668895014,0.501101490901674,0.529307137673638,0.218493962512014
"18","Louisiana",0.708134999774404,0.618019917404465,0.607773228743389,0.87982703597338,0.649191482918253,0.527099921359077,0.485977858897072,0.427068940690338,0.659925055445242,0.0577657464702783,0.659712657179821,0.352158069714429,0.492898098365408,0.601740593059756,0.649924090153713,0.508252421657158,0.529245719040787,0.225503563682629
"19","Maine",0.755541032094325,0.638821013797675,0.645156792302618,0.873257507148588,0.571686340027203,0.546367806282467,0.512943219595974,0.492529929414266,0.657624083361329,0.0928429521214507,0.695764469414369,0.431188909522023,0.621572263223331,0.497698001394989,0.588937942871938,0.379750463625009,0.425189769145648,0.13474336514949
"20","Maryland",0.775625059680671,0.719695269604992,0.653332612720603,0.869494694822289,0.524684391134968,0.682803643668292,0.583242950487206,0.597905063603724,0.744485404544782,0.0682450896279382,0.791680197324249,0.45718729448639,0.715739592803753,0.461721800106344,0.532404448627935,0.344374353349132,0.366376214395068,0.137594523003665
"21","Massachusetts",0.782368623292258,0.713852235699586,0.676376827667209,0.849483786051064,0.474257467555671,0.679005913154422,0.580300962599325,0.613254144274295,0.795753984037336,0.0986280334882363,0.794583966992046,0.483799262781398,0.759841005384087,0.436267760957252,0.511798071858176,0.270051441593083,0.315848098067546,0.119241522841605
"22","Michigan",0.726072776980806,0.64658139692827,0.658396676763525,0.88198371594558,0.560457340668941,0.57299346799677,0.522732066670054,0.499717489563797,0.665705910534154,0.0664497362678884,0.708429490566522,0.412818480652264,0.605201520408022,0.51786282623057,0.616212634900134,0.411135930683397,0.437877440192484,0.167707043530007
"23","Minnesota",0.766152064034486,0.677446909215609,0.668181250806494,0.873112617381232,0.560376321205267,0.596695849782365,0.553224072853893,0.546749609579482,0.681550458775109,0.0851992338532935,0.721489280426875,0.451180005493653,0.634707952378645,0.485017070379217,0.585766632628759,0.358016297841328,0.41241173266681,0.148205665568649
"24","Mississippi",0.723422450574885,0.610715224983806,0.581632110666249,0.895836761296134,0.679949397507771,0.527071669156406,0.481746010666498,0.419725931309189,0.63216748212619,0.0552585625471361,0.648173054681801,0.351072718950451,0.495227426840018,0.603103613515882,0.650546853934625,0.517127038164786,0.535846037003147,0.221895913770046
"25","Missouri",0.725459239728021,0.631993196897597,0.650773263161466,0.890019291449854,0.619896756860479,0.50791684057871,0.500261236621987,0.455663245917209,0.625998999372292,0.0697519374690292,0.674158360360462,0.405644981234176,0.535033641278122,0.567170338450817,0.625890742638991,0.465381240427837,0.496173027198411,0.188695594466127
"26","Montana",0.714755082857765,0.60366689221868,0.63247405001179,0.882335147482825,0.657652067867247,0.430469411927029,0.500249665030724,0.428848910580662,0.606634610393277,0.083387883705573,0.616264480967778,0.390702345979031,0.526640597075411,0.54245034044831,0.638696222861806,0.469758955787378,0.510921658730121,0.174905987982861
"27","Nebraska",0.730691109072676,0.621481555725785,0.652171569715404,0.88556008560426,0.630033978345452,0.530343316151284,0.51301708024508,0.496919411743052,0.627764696443549,0.0826993588008526,0.655904759458144,0.441640992838552,0.556070611322135,0.550495353846574,0.650805982715317,0.469670076527648,0.496278631213089,0.1863139422867
"28","Nevada",0.736642831298908,0.6443653503013,0.650701182576664,0.867569618966017,0.510057612523779,0.601696757871795,0.557383486979947,0.541209431202363,0.739539000449253,0.0840113898451991,0.716741245015966,0.443408075889719,0.704610808912078,0.509324113846555,0.576619810209679,0.361396015131686,0.384230439029706,0.135769372042563
"29","New Hampshire",0.770495078238168,0.668365943619072,0.683354211743009,0.858111442989069,0.552700727170522,0.580068211102961,0.536081819810412,0.536333930617186,0.704885470007847,0.0967809847542145,0.728156513697643,0.473979649181512,0.680908856599975,0.470171798365034,0.564319854119263,0.320169855113325,0.368997795937785,0.124915130516411
"30","New Jersey",0.763578273085015,0.703032101161076,0.66307464216204,0.868139742149209,0.51609239706858,0.706230236619967,0.583388466526872,0.576772106630837,0.777251746574024,0.0729373793304118,0.782689912950377,0.440973849756902,0.702982928647452,0.506528683065889,0.570321261158489,0.335104294321558,0.367986000582583,0.137155773818492
"31","New Mexico",0.73098518952379,0.660678083089795,0.69322297414025,0.839100200015823,0.470944316018273,0.647882480074606,0.577521764704628,0.655698296639404,0.78086992537295,0.0844143645204903,0.713907677524719,0.464166537536658,0.678742896559622,0.503375769173581,0.569237196044695,0.372202486595934,0.371209404789249,0.164261834389917
"32","New York",0.773147275015251,0.721516032312456,0.648859347633684,0.85827379263862,0.515360250573205,0.676774692460199,0.579734385012365,0.621161891635693,0.820378873702716,0.0689258365921758,0.816092335761582,0.455645988845593,0.734913477287709,0.492854591732089,0.565371411826226,0.320829378029331,0.355223997374255,0.164660316699604
"33","North Carolina",0.741449489268931,0.64543476942635,0.618905111223367,0.879690863792522,0.603348730162125,0.571600215306536,0.519912466298916,0.509402518515838,0.696613206534801,0.0764936257997352,0.720682436925226,0.414041979214,0.588701171951934,0.534210770336242,0.616570529058789,0.434863547791727,0.456847579363985,0.193394919219854
"34","North Dakota",0.719820788615435,0.598925072446786,0.648175639183999,0.881638734428736,0.638773553128222,0.442278384514174,0.508984508161023,0.437001979019311,0.620568431735156,0.0802037787511691,0.609346004882872,0.384066987085572,0.528429271804061,0.568485324662409,0.648025919390418,0.463605741909071,0.503745475700556,0.190813270991571
"35","Ohio",0.758131435904982,0.639415107968392,0.638483739129617,0.886270001230384,0.599517006362353,0.575335334291385,0.521456759569692,0.485971684714397,0.654455639964156,0.0654126182640263,0.70856817449027,0.409085109446683,0.579518889027863,0.555133149447762,0.623559298717894,0.438953064880323,0.47504485339033,0.171959786475818
